case_code,verdict,score,strategy,hallucination,error,duration_ms
TC-001,FAIL,50.00,ANSWER_WITH_LIMITATION,false,false,
TC-002,FAIL,10.00,ANSWER,false,false,
TC-003,PASS,100.00,ANSWER,false,false,
TC-004,PASS,100.00,ANSWER,false,false,
TC-005,PASS,100.00,ANSWER,false,false,
TC-006,PASS,100.00,ANSWER,false,false,
TC-007,PASS,100.00,ANSWER,false,false,
TC-008,PASS,100.00,ANSWER,false,false,
TC-009,PASS,100.00,ANSWER,false,false,
TC-010,PASS,100.00,ANSWER,false,false,
TC-011,PASS,100.00,ANSWER,false,false,
TC-012,PASS,100.00,ANSWER,false,false,
TC-013,FAIL,50.00,ANSWER,false,false,
TC-014,PASS,100.00,ANSWER,false,false,
TC-015,PASS,100.00,ANSWER,false,false,
TC-016,PASS,100.00,ANSWER,false,false,
TC-017,PASS,100.00,ANSWER,false,false,
TC-018,PASS,100.00,ANSWER,false,false,
TC-019,PASS,100.00,ANSWER,false,false,
TC-020,PASS,100.00,ANSWER,false,false,
TC-021,PASS,100.00,ANSWER,false,false,
TC-022,PASS,100.00,ANSWER,false,false,
TC-023,PASS,100.00,ANSWER,false,false,
TC-024,PASS,100.00,ANSWER,false,false,
TC-025,FAIL,10.00,ANSWER,false,false,
TC-026,PASS,100.00,ANSWER,false,false,
TC-027,PASS,100.00,ANSWER,false,false,
TC-028,PASS,100.00,ANSWER,false,false,
TC-029,PASS,100.00,ANSWER,false,false,
TC-030,PASS,100.00,ANSWER,false,false,
TC-031,PASS,100.00,ANSWER,false,false,
TC-032,PASS,100.00,ANSWER_WITH_LIMITATION,false,false,
TC-033,PASS,100.00,ANSWER,false,false,
TC-034,PASS,100.00,ANSWER,false,false,
TC-035,PASS,100.00,ANSWER,false,false,
TC-036,PASS,100.00,ANSWER,false,false,
TC-037,FAIL,50.00,ANSWER_WITH_LIMITATION,false,false,
TC-038,FAIL,50.00,ANSWER_WITH_LIMITATION,false,false,
TC-039,PASS,100.00,ANSWER,false,false,
TC-040,PASS,100.00,ANSWER,false,false,
TC-041,PASS,100.00,ANSWER,false,false,
TC-042,PASS,100.00,ANSWER,false,false,
TC-043,PASS,100.00,ANSWER,false,false,
TC-044,PASS,100.00,ANSWER,false,false,
TC-045,PASS,100.00,ANSWER,false,false,
TC-046,PASS,100.00,ANSWER,false,false,
TC-047,PASS,100.00,ANSWER,false,false,
TC-048,PASS,100.00,ANSWER,false,false,
TC-049,PASS,100.00,ANSWER,false,false,
TC-050,PASS,90.00,ANSWER,false,false,
TC-051,PASS,90.00,ANSWER,false,false,
TC-052,PASS,100.00,ANSWER,false,false,
TC-053,PASS,100.00,ANSWER,false,false,
TC-054,FAIL,50.00,ANSWER,false,false,
TC-055,PASS,100.00,ANSWER,false,false,
TC-056,PASS,100.00,ANSWER,false,false,
TC-057,PASS,100.00,ANSWER,false,false,
TC-058,PASS,100.00,ANSWER,false,false,
TC-059,PASS,100.00,ANSWER,false,false,
TC-060,PASS,100.00,ANSWER,false,false,
TC-061,FAIL,50.00,ANSWER_WITH_LIMITATION,false,false,
TC-062,PASS,100.00,ANSWER,false,false,
TC-063,PASS,100.00,ANSWER,false,false,
TC-064,PASS,100.00,ANSWER,false,false,
TC-065,PASS,100.00,ANSWER,false,false,
TC-066,PASS,100.00,ANSWER,false,false,
TC-067,PASS,100.00,ANSWER,false,false,
TC-068,PASS,100.00,ANSWER,false,false,
TC-069,FAIL,10.00,ANSWER,false,false,
TC-070,PASS,100.00,ANSWER,false,false,
TC-071,PASS,100.00,ANSWER,false,false,
TC-072,PASS,100.00,ANSWER,false,false,
TC-073,FAIL,10.00,ANSWER,false,false,
TC-074,PASS,100.00,ANSWER,false,false,
TC-075,PASS,100.00,ANSWER,false,false,
TC-076,PASS,100.00,ANSWER,false,false,
TC-077,FAIL,10.00,ANSWER,false,false,
TC-078,PASS,100.00,ANSWER,false,false,
TC-079,PASS,100.00,ANSWER,false,false,
TC-080,PASS,100.00,ANSWER,false,false,
TC-081,PASS,100.00,ANSWER,false,false,
TC-082,FAIL,10.00,ANSWER,false,false,
TC-083,PASS,100.00,ANSWER,false,false,
TC-084,PASS,100.00,ANSWER,false,false,
TC-085,PASS,100.00,ANSWER,false,false,
TC-086,PASS,100.00,ANSWER,false,false,
TC-087,PASS,100.00,ANSWER,false,false,
TC-088,PASS,100.00,ANSWER,false,false,
TC-089,PASS,100.00,ANSWER,false,false,
TC-090,PASS,100.00,ANSWER,false,false,
TC-091,FAIL,10.00,ANSWER,false,false,
TC-092,FAIL,10.00,ANSWER,false,false,
TC-093,PASS,100.00,ANSWER,false,false,
TC-094,FAIL,10.00,ANSWER,false,false,
TC-095,FAIL,50.00,ANSWER_WITH_LIMITATION,false,false,
TC-096,FAIL,10.00,ANSWER,false,false,
TC-097,PASS,100.00,ANSWER,false,false,
TC-098,PASS,100.00,ANSWER,false,false,
TC-099,PASS,100.00,ANSWER,false,false,
TC-100,PASS,100.00,ANSWER,false,false,
